timestamp,Temperature
11:21:19,24.8
11:21:20,24.8
11:21:20,24.8
11:21:21,24.8
11:21:22,24.8
11:21:22,24.8
11:21:23,24.8
11:21:24,24.8
11:21:25,24.8
11:21:25,24.8
11:21:26,24.8
11:21:27,24.8
11:21:27,24.8
11:21:28,24.8
11:21:29,24.8
11:21:30,24.8
11:21:30,24.8
11:21:35,24.8
11:21:35,24.8
11:21:35,24.8
11:21:35,24.8
11:21:35,24.8
11:21:35,24.8
11:21:35,24.8
11:21:36,24.8
11:21:37,24.8
11:21:37,24.8
11:21:38,24.8
11:21:39,24.8
11:21:39,24.8
11:21:40,24.8
11:21:41,24.8
11:21:42,24.8
11:21:42,24.8
11:21:43,24.8
11:21:44,24.8
11:21:44,24.8
11:21:45,24.8
11:21:46,24.8
11:21:47,24.8
11:21:47,24.8
11:21:48,24.8
11:21:49,24.8
11:21:49,24.8
11:21:50,24.8
11:21:51,24.8
11:21:52,24.8
11:21:52,24.8
11:21:53,24.8
11:21:54,24.8
11:21:54,24.8
11:21:55,24.8
11:21:56,24.8
11:21:56,24.8
11:21:57,24.8
11:21:58,24.8
11:21:59,24.8
11:21:59,24.8
11:22:00,24.8
11:22:01,24.8
11:22:01,24.8
11:22:02,24.8
11:22:03,24.8
11:22:04,24.8
11:22:04,24.8
11:22:05,24.8
11:22:06,24.8
11:22:06,24.8
11:22:07,24.8
11:22:08,24.8
11:22:09,24.8
11:22:09,24.8
11:22:10,24.8
11:22:11,24.8
11:22:11,24.8
11:22:12,24.8
11:22:13,24.8
11:22:14,24.8
11:22:14,25.3
11:22:15,25.3
11:22:16,25.3
11:22:16,25.3
11:22:17,25.3
11:22:18,25.3
11:22:19,25.3
11:22:19,25.3
11:22:20,25.3
11:22:21,25.8
11:22:21,25.8
11:22:22,25.8
11:22:23,25.8
11:22:23,25.8
11:22:24,25.8
11:22:25,25.8
11:22:26,25.8
11:22:26,25.8
11:22:27,26.2
11:22:28,26.2
11:22:28,26.2
11:22:29,26.2
11:22:30,26.2
11:22:31,26.2
11:22:31,26.2
11:22:32,26.2
11:22:33,26.2
11:22:33,26.7
11:22:34,26.7
11:22:35,26.7
11:22:36,26.7
11:22:36,26.7
11:22:37,26.7
11:22:38,26.7
11:22:38,26.7
11:22:39,26.7
11:22:40,27.1
11:22:41,27.1
11:22:41,27.1
11:22:42,27.1
